title,avg_monthly_searches,competition_index,api_status,gate_passed,checked_at
License Portal,6600.0,0.0,success,True,2026-08-19T12:26:30.202611+09:00
License Tracker,90500.0,0.0,success,True,2026-08-19T12:24:37.833597+09:00
Licensing Board,1900.0,0.0,success,True,2026-08-17T21:35:33.419897+09:00
Licensing Check,90500.0,0.0,success,True,2026-08-19T13:27:56.460670+09:00
Licensing Form,33100.0,0.0,success,True,2026-08-19T13:27:18.608287+09:00
Licensing Portal,6600.0,0.0,success,True,2026-08-17T20:45:32.525368+09:00
Lighting Map,673000.0,0.0,success,True,2026-08-19T12:24:48.425289+09:00
Lighting Note,2400.0,0.0,success,True,2026-08-19T13:32:13.743565+09:00
Lighting Scheduler,4400.0,0.0,success,True,2026-08-19T12:26:30.202611+09:00
Listing Map,6600.0,0.0,success,True,2026-08-18T07:52:33.463903+09:00
Livestock Assistant,1000.0,0.0,success,True,2026-08-17T23:24:19.906640+09:00
Livestock Card,1000.0,0.0,success,True,2026-08-19T13:28:15.783876+09:00
Localization Signal,2900.0,0.0,success,True,2026-08-18T22:04:51.222507+09:00
Location Relay,1000.0,0.0,success,True,2026-08-19T12:24:44.570895+09:00
Manifest Hub,2400.0,0.0,success,True,2026-08-17T21:34:15.444697+09:00
Manifest Tracker,4400.0,0.0,success,True,2026-08-17T21:37:24.355362+09:00
Material Hub,2900.0,0.0,success,True,2026-08-17T20:44:07.827451+09:00
Medication Route,3600.0,0.0,success,True,2026-08-17T23:30:05.459796+09:00
Medication Station,1900.0,0.0,success,True,2026-08-17T23:28:41.981102+09:00
Membership Center,8100.0,0.0,success,True,2026-08-17T20:44:09.032273+09:00
Membership Core,1900.0,0.0,success,True,2026-08-17T21:33:59.802696+09:00
Membership Counter,1300.0,0.0,success,True,2026-08-18T23:59:24.120788+09:00
Membership Log,201000.0,0.0,success,True,2026-08-19T13:21:40.944519+09:00
Membership Portal,135000.0,0.0,success,True,2026-08-17T20:42:19.428112+09:00
Membership Profile,1300.0,0.0,success,True,2026-08-19T13:24:10.018965+09:00
Memorial Map,1900.0,0.0,success,True,2026-08-17T23:04:12.037031+09:00
Menu Assistant,1900.0,0.0,success,True,2026-08-17T23:28:48.980231+09:00
Menu Console,1000.0,0.0,success,True,2026-08-17T21:37:42.380657+09:00
Menu Loop,2900.0,0.0,success,True,2026-08-17T20:48:21.583177+09:00
Menu Roster,6600.0,0.0,success,True,2026-08-19T00:37:34.373704+09:00
Menu Vault,1900.0,0.0,success,True,2026-08-17T21:41:44.845375+09:00
Meter Bridge,12100.0,0.0,success,True,2026-08-17T21:40:41.309160+09:00
Migration Map,2900.0,0.0,success,True,2026-08-17T20:32:26.534581+09:00
Migration Report,1300.0,0.0,success,True,2026-08-19T13:25:53.621438+09:00
Migration Watch,2900.0,0.0,success,True,2026-08-17T20:40:49.686418+09:00
Monitoring Check,3600.0,0.0,success,True,2026-08-19T13:27:07.663216+09:00
Monitoring Scale,27100.0,0.0,success,True,2026-08-17T20:46:23.888336+09:00
Network Beacon,1300.0,0.0,success,True,2026-08-17T20:40:06.808560+09:00
Network Manager,9900.0,0.0,success,True,2026-08-17T21:33:08.992358+09:00
Network Tracker,40500.0,0.0,success,True,2026-08-17T21:30:47.592348+09:00
Obituary Journal,2900.0,0.0,success,True,2026-08-18T22:08:19.564377+09:00
Obituary Monitor,2400.0,0.0,success,True,2026-08-17T23:26:24.551704+09:00
Obituary Watch,1000.0,0.0,success,True,2026-08-17T23:29:51.250400+09:00
Occupancy Grid,1300.0,0.0,success,True,2026-08-17T20:33:54.236742+09:00
Offer Counter,14800.0,0.0,success,True,2026-08-19T00:02:18.071698+09:00
Offer Sheet,1900.0,0.0,success,True,2026-08-19T13:26:10.178451+09:00
Offer Wave,1600.0,0.0,success,True,2026-08-17T21:33:45.075228+09:00
Order Panel,1000.0,0.0,success,True,2026-08-17T23:24:15.710246+09:00
Outage Finder,6600.0,0.0,success,True,2026-08-18T23:57:31.846586+09:00
Outage Tracker,9900.0,0.0,success,True,2026-08-17T20:39:17.196343+09:00
Package Manager,5400.0,0.0,success,True,2026-08-19T12:26:33.810025+09:00
Package Note,1900.0,0.0,success,True,2026-08-19T13:31:47.223941+09:00
Package Zone,14800.0,0.0,success,True,2026-08-19T12:25:55.231488+09:00
Patient Gate,201000.0,0.0,success,True,2026-08-17T20:35:59.491401+09:00
Patient Log,3600.0,0.0,success,True,2026-08-19T13:33:39.488989+09:00
Patient Station,2400.0,0.0,success,True,2026-08-17T21:33:36.085901+09:00
Payment Profile,3600.0,0.0,success,True,2026-08-19T13:24:25.669672+09:00
Perimeter Directory,4400.0,0.0,success,True,2026-08-18T23:57:28.259874+09:00
Permit Card,1600.0,0.0,success,True,2026-08-19T13:27:59.144364+09:00
Permit Check,3600.0,0.0,success,True,2026-08-19T13:28:12.912105+09:00
Permit Portal,4400.0,0.0,success,True,2026-08-17T20:34:34.179062+09:00
Pickup Hub,2900.0,0.0,success,True,2026-08-17T23:04:40.930662+09:00
Placement Check,12100.0,0.0,success,True,2026-08-19T13:28:33.821561+09:00
Placement Log,1000.0,0.0,success,True,2026-08-19T13:27:59.144364+09:00
Placement Portal,27100.0,0.0,success,True,2026-08-17T20:37:57.626492+09:00
Policy Lab,1600.0,0.0,success,True,2026-08-17T21:41:22.072079+09:00
Port Check,110000.0,0.0,success,True,2026-08-19T13:23:25.617100+09:00
Port Flow,2400.0,0.0,success,True,2026-08-17T23:12:02.312580+09:00
Port Map,6600.0,0.0,success,True,2026-08-17T23:29:46.030396+09:00
Port Score,12100.0,0.0,success,True,2026-08-19T13:23:44.398972+09:00
Premium Hub,1000.0,0.0,success,True,2026-08-17T21:39:22.624237+09:00
Premium Nexus,3600.0,0.0,success,True,2026-08-17T20:37:28.424048+09:00
Premium Portal,14800.0,0.0,success,True,2026-08-17T21:31:59.895065+09:00
Print Portal,110000.0,0.0,success,True,2026-08-19T12:26:57.441352+09:00
Program Flow,5400.0,0.0,success,True,2026-08-17T23:08:04.686791+09:00
Program Report,1000.0,0.0,success,True,2026-08-19T13:23:50.629735+09:00
Property Card,33100.0,0.0,success,True,2026-08-19T13:33:02.578163+09:00
Property Log,60500.0,0.0,success,True,2026-08-19T13:32:47.690424+09:00
Provider Flow,9900.0,0.0,success,True,2026-08-17T20:45:24.269018+09:00
Provider Hub,2900.0,0.0,success,True,2026-08-17T20:44:22.162347+09:00
Queue Monitor,1000.0,0.0,success,True,2026-08-17T23:26:55.594772+09:00
Ratio Card,2740000.0,0.0,success,True,2026-08-19T13:33:40.733972+09:00
Ratio Chart,1000.0,0.0,success,True,2026-08-19T12:25:55.231488+09:00
Ratio Finder,246000.0,0.0,success,True,2026-08-18T23:58:01.279851+09:00
Ratio Grid,1000.0,0.0,success,True,2026-08-17T23:07:35.240679+09:00
Ratio Scale,8100.0,0.0,success,True,2026-08-17T23:24:01.156266+09:00
Recipe Beacon,6600.0,0.0,success,True,2026-08-17T20:41:48.704350+09:00
Recipe Compass,4400.0,0.0,success,True,2026-08-17T20:42:32.290659+09:00
Records Base,1600.0,0.0,success,True,2026-08-18T07:52:46.019796+09:00
Redline Monitor,3600.0,0.0,success,True,2026-08-17T23:23:29.892589+09:00
Redline Rail,2400.0,0.0,success,True,2026-08-18T07:52:46.019796+09:00
Redline Route,1600.0,0.0,success,True,2026-08-17T20:32:47.475978+09:00
Redline Station,2400.0,0.0,success,True,2026-08-17T20:41:54.470071+09:00
Reference Assistant,1000.0,0.0,success,True,2026-08-17T23:05:47.972316+09:00
Reference Center,1600.0,0.0,success,True,2026-08-17T20:32:12.868338+09:00
Reference Frame,18100.0,0.0,success,True,2026-08-17T20:41:27.066117+09:00
Reference Journal,1600.0,0.0,success,True,2026-08-18T22:02:38.118746+09:00
Reference Map,8100.0,0.0,success,True,2026-08-17T20:43:09.097865+09:00
Refund Locator,6600.0,0.0,success,True,2026-08-18T23:58:23.364762+09:00
Refund Scheduler,1900.0,0.0,success,True,2026-08-17T23:07:43.866571+09:00
Refund Tracker,33100.0,0.0,success,True,2026-08-17T20:37:18.091212+09:00
Registrar Assistant,4400.0,0.0,success,True,2026-08-19T13:27:09.579518+09:00
Registration Grid,1600.0,0.0,success,True,2026-08-17T20:34:09.472739+09:00
Registration Journal,12100.0,0.0,success,True,2026-08-18T22:10:25.741480+09:00
Rent Panel,1600.0,0.0,success,True,2026-08-18T07:52:55.085793+09:00
Rent Register,5400.0,0.0,success,True,2026-08-17T23:15:12.775041+09:00
Rent Registry,5400.0,0.0,success,True,2026-08-18T22:11:30.674698+09:00
Rental Panel,1600.0,0.0,success,True,2026-08-19T12:27:49.196174+09:00
Rental Register,5400.0,0.0,success,True,2026-08-19T12:23:56.615526+09:00
Reservation Map,14800.0,0.0,success,True,2026-08-17T20:41:46.079279+09:00
Reserve Map,14800.0,0.0,success,True,2026-08-17T23:24:58.944526+09:00
Resident Playbook,246000.0,0.0,success,True,2026-08-18T22:09:21.781956+09:00
Resident Portal,74000.0,0.0,success,True,2026-08-17T23:24:40.372556+09:00
Resident Zone,1300.0,0.0,success,True,2026-08-17T23:06:43.544679+09:00
Resolution Portal,1600.0,0.0,success,True,2026-08-17T21:31:49.761986+09:00
Resolution Scope,1900.0,0.0,success,True,2026-08-17T20:42:49.578916+09:00
Retail Chain,2400.0,0.0,success,True,2026-08-17T23:32:52.026751+09:00
Return Check,2900.0,0.0,success,True,2026-08-19T13:29:22.570342+09:00
Return Hub,1600.0,0.0,success,True,2026-08-17T21:36:52.396982+09:00
Return Log,1600.0,0.0,success,True,2026-08-19T13:28:36.830433+09:00
Return Scale,9900.0,0.0,success,True,2026-08-17T20:43:30.530213+09:00
