title,avg_monthly_searches,competition_index,api_status,gate_passed,checked_at
Actuary Lens,,,failed,False,2026-08-17T20:43:46.830313+09:00
Actuary Lock,,,failed,False,2026-08-17T20:45:34.633599+09:00
Actuary Loop,,,failed,False,2026-08-17T21:33:28.260657+09:00
Actuary Manager,390.0,1.0,success,False,2026-08-17T20:42:19.428112+09:00
Actuary Map,10.0,7.0,success,False,2026-08-17T20:44:32.138425+09:00
Actuary Meter,,,failed,False,2026-08-17T21:38:18.723173+09:00
Actuary Nexus,,,failed,False,2026-08-17T20:45:56.929111+09:00
Actuary Node,,,failed,False,2026-08-17T20:48:26.612997+09:00
Actuary Panel,,,failed,False,2026-08-17T21:41:47.180143+09:00
Actuary Path,210.0,8.0,success,False,2026-08-17T20:47:47.373505+09:00
Actuary Pilot,,,failed,False,2026-08-17T20:37:18.091212+09:00
Actuary Point,,,failed,False,2026-08-17T20:46:27.690682+09:00
Actuary Portal,,,failed,False,2026-08-17T20:31:49.556843+09:00
Actuary Pulse,,,failed,False,2026-08-17T21:31:17.550614+09:00
Actuary Radar,,,failed,False,2026-08-17T20:35:20.751202+09:00
Actuary Rail,,,failed,False,2026-08-17T21:34:01.777052+09:00
Actuary Relay,,,failed,False,2026-08-17T20:34:25.476328+09:00
Actuary Route,,,failed,False,2026-08-17T21:36:10.133574+09:00
Actuary Scale,,,failed,False,2026-08-17T21:37:08.932405+09:00
Actuary Scope,10.0,0.0,success,False,2026-08-17T21:34:31.783933+09:00
Actuary Sentry,,,failed,False,2026-08-17T20:44:10.950266+09:00
Actuary Signal,,,failed,False,2026-08-17T21:36:38.708092+09:00
Actuary Station,,,failed,False,2026-08-17T20:35:51.368204+09:00
Actuary Studio,,,failed,False,2026-08-17T20:37:49.257868+09:00
Actuary Sync,,,failed,False,2026-08-17T20:40:03.112671+09:00
Actuary Tracker,,,failed,False,2026-08-17T20:40:49.686418+09:00
Actuary Trail,,,failed,False,2026-08-17T21:33:02.340741+09:00
Actuary Vault,,,failed,False,2026-08-17T20:33:31.328442+09:00
Actuary Watch,,,failed,False,2026-08-17T21:35:36.118436+09:00
Actuary Wave,,,failed,False,2026-08-17T21:30:08.257838+09:00
Actuary Zone,,,failed,False,2026-08-17T20:32:58.642411+09:00
Adherence Manager,10.0,9.0,success,False,2026-08-17T22:48:03.176041+09:00
Adjuster Anchor,,,failed,False,2026-08-17T20:39:21.363517+09:00
Adjuster Atlas,,,failed,False,2026-08-17T21:40:59.899740+09:00
Adjuster Base,210.0,7.0,success,False,2026-08-17T21:35:54.911296+09:00
Adjuster Beacon,,,failed,False,2026-08-17T20:42:40.071307+09:00
Adjuster Board,,,failed,False,2026-08-17T21:32:47.122898+09:00
Adjuster Bridge,,,failed,False,2026-08-17T20:40:17.203996+09:00
Adjuster Cascade,,,failed,False,2026-08-17T20:41:01.819842+09:00
Adjuster Center,,,failed,False,2026-08-17T20:44:46.784780+09:00
Adjuster Chain,2400.0,79.0,success,False,2026-08-17T20:34:17.127214+09:00
Adjuster Compass,,,failed,False,2026-08-17T20:43:32.566232+09:00
Adjuster Console,,,failed,False,2026-08-17T20:42:12.704128+09:00
Adjuster Core,,,failed,False,2026-08-17T21:34:53.019649+09:00
Adjuster Deck,,,failed,False,2026-08-17T21:31:35.848823+09:00
Adjuster Desk,,,failed,False,2026-08-17T20:47:28.313560+09:00
Adjuster Dial,,,failed,False,2026-08-17T20:40:41.186342+09:00
Adjuster Dock,,,failed,False,2026-08-17T20:37:05.313557+09:00
Adjuster Flow,,,failed,False,2026-08-17T21:32:11.115049+09:00
Adjuster Forge,,,failed,False,2026-08-17T20:41:53.253624+09:00
Adjuster Frame,,,failed,False,2026-08-17T21:36:54.710856+09:00
Adjuster Grid,,,failed,False,2026-08-17T20:34:42.726088+09:00
Adjuster Guard,,,failed,False,2026-08-17T21:35:20.515813+09:00
Adjuster Hub,10.0,0.0,success,False,2026-08-17T21:31:00.206645+09:00
Adjuster Keeper,,,failed,False,2026-08-17T21:37:32.627735+09:00
Adjuster Lab,,,failed,False,2026-08-17T20:48:09.439521+09:00
Adjuster Ledger,,,failed,False,2026-08-17T21:33:45.075228+09:00
Adjuster Lens,,,failed,False,2026-08-17T21:38:05.775829+09:00
Adjuster Lock,20.0,13.0,success,False,2026-08-17T21:41:34.183941+09:00
Adjuster Loop,,,failed,False,2026-08-17T20:35:40.356029+09:00
Adjuster Manager,,,failed,False,2026-08-17T21:36:28.444275+09:00
Adjuster Map,,,failed,False,2026-08-17T21:39:34.435552+09:00
Adjuster Meter,,,failed,False,2026-08-17T20:39:51.023967+09:00
Adjuster Node,,,failed,False,2026-08-17T20:32:08.584337+09:00
Adjuster Panel,,,failed,False,2026-08-17T20:41:22.469867+09:00
Adjuster Path,,,failed,False,2026-08-17T20:31:35.680631+09:00
Adjuster Pilot,,,failed,False,2026-08-17T20:48:45.753465+09:00
Adjuster Portal,90.0,0.0,success,False,2026-08-17T20:43:05.974432+09:00
Adjuster Pulse,,,failed,False,2026-08-17T20:33:48.971139+09:00
Adjuster Radar,,,failed,False,2026-08-17T20:46:14.149623+09:00
Adjuster Rail,,,failed,False,2026-08-17T20:36:08.746361+09:00
Adjuster Relay,10.0,39.0,success,False,2026-08-17T20:45:24.269018+09:00
Adjuster Route,10.0,,success,False,2026-08-17T20:38:04.703276+09:00
Adjuster Scale,,,failed,False,2026-08-17T20:38:58.199942+09:00
